term,norm LIME
faktiskt,0.0001
ekonomiska,0.0001
säger,0.0001
komma,0.0001
någon,0.0001
eller,0.0001
om,0.0001
leder,0.0001
över,0.0001
denna,0.0001
två,0.0001
den,0.0001
viktig,0.0001
på,0.0001
de,0.0001
varit,0.0001
ni,0.0001
tar,0.0001
viktigt,0.0001
så,0.0001
regeringens,0.0001
till,0.0000
stor,0.0000
alla,0.0000
ut,0.0000
skapa,0.0000
nu,0.0000
att,0.0000
se,0.0000
ta,0.0000
ha,0.0000
säga,0.0000
som,0.0000
ett,0.0000
en,0.0000
