term,PCA dim
ta,-1.3019
sig,-1.3041
väldig,-1.3047
grupp,-1.3058
sätt,-1.3071
vara,-1.3083
mera,-1.3085
2001,-1.3125
slags,-1.3162
koncentrera,-1.3192
åt,-1.3195
den,-1.3213
veta,-1.3218
vänta,-1.3225
plattform,-1.3253
mars,-1.3254
entré,-1.3271
se,-1.3287
känsliga,-1.3289
denna,-1.3294
jättebra,-1.3316
20,-1.3333
träffat,-1.3347
ganska,-1.3355
pass,-1.3374
köpa,-1.3376
platser,-1.3386
samma,-1.3449
min,-1.3487
så,-1.3496
sättet,-1.3497
äter,-1.3538
ett,-1.3562
delen,-1.3616
bakgrunden,-1.3708
kläder,-1.3726
som,-1.3798
skriva,-1.3803
jättestor,-1.3842
en,-1.3858
till,-1.3890
försiktig,-1.3893
ut,-1.3922
känner,-1.3937
av,-1.3947
mat,-1.3962
också,-1.3972
12,-1.3985
sida,-1.3987
man,-1.4005
7,-1.4022
och,-1.4025
alternativ,-1.4037
gör,-1.4052
6,-1.4058
3,-1.4094
deras,-1.4124
information,-1.4136
förbereder,-1.4192
upp,-1.4202
skydda,-1.4246
när,-1.4291
reser,-1.4309
1996,-1.4365
bjuda,-1.4426
på,-1.4476
vid,-1.4525
djur,-1.4529
tidigt,-1.4544
träffa,-1.4561
du,-1.4573
andra,-1.4600
behandla,-1.4630
spännande,-1.4744
tag,-1.4744
med,-1.4765
spel,-1.4777
dig,-1.4785
väldigt,-1.4846
exempel,-1.4848
över,-1.4955
service,-1.5003
din,-1.5041
10,-1.5117
hitta,-1.5334
litet,-1.5388
hjälp,-1.5455
a,-1.5461
mobiltelefon,-1.5636
reflexion,-1.5713
innan,-1.5737
säker,-1.5778
blandas,-1.5880
använda,-1.5942
e,-1.5967
dela,-1.6092
framme,-1.6182
känslig,-1.6251
tillsammans,-1.6270
u,-1.6297
dam,-1.7585
